Elevation,Sex,SVL,BM
4200m,M,5.7,7.37
4200m,M,6,9.18
4200m,M,5.4,5.17
4200m,M,5,3.85
4200m,F,4.4,3.09
4200m,M,5.9,7.24
4200m,M,6.2,8.43
4200m,F,4.1,2.52
4200m,M,5.7,4.35
4200m,F,5,5.79
4200m,F,4.8,3.88
4200m,F,4.1,2.7
4200m,M,5.7,6.25
4200m,F,5.2,5
4200m,F,4.8,4.3
4200m,F,3.9,2.1
4200m,M,6.2,8.82
4200m,M,5.4,6.15
4200m,F,5.1,4.63
4200m,M,5.7,7.99
4200m,M,5.7,5.35
4200m,M,5.3,5.39
4200m,M,5.1,3.62
4200m,F,5,5.15
4200m,F,5.1,5.32
4200m,M,4.7,3.61
4200m,F,4,2.68
2600m,M,5.8,6.97
2600m,M,6,6.53
2600m,M,5.5,5.26
2600m,F,6.5,6.88
2600m,F,5.3,4.7
2600m,F,5,3.85
2600m,M,5.2,4.3
2600m,F,6.5,6.42
2600m,M,6.2,7.83
2600m,M,6,6.38
2600m,M,6.7,9.36
2600m,M,5.7,6.03
2600m,F,6.3,5.53
2600m,F,6.1,5.79
2600m,F,4.9,3.85
2600m,M,4.6,3.7
2600m,M,5.7,5.32
2600m,M,6.5,8.3
2600m,M,6.9,10.38
2600m,M,6,7.6
2600m,F,6.5,7.6
2600m,F,5,3.66
2600m,M,4.7,3.66
2600m,F,6.7,7.91
2600m,M,6.5,9.99
2600m,M,6.2,7.56
2600m,M,6.4,9
2600m,M,6,6.83
2600m,M,6.4,9.67
2600m,F,5,4.06
2600m,M,5.2,4.25
2600m,M,4.3,2.69
2600m,M,6.1,7.4
2600m,M,6.3,7.78
2600m,M,6.5,7.93
2600m,M,7.1,9.34
2600m,M,4.9,3.48
2600m,F,6.6,7.27
2600m,F,5.4,4.54
2600m,F,6,5.24
3400m,M,5.6,6.41
3400m,M,5.4,5.97
3400m,M,5.5,6.34
3400m,M,5.3,5.1
3400m,M,5.2,5.74
3400m,F,5.3,3.91
3400m,F,4.2,2.46
3400m,M,5.2,5.27
3400m,M,5.4,6.07
3400m,M,5.5,6.08
3400m,M,5.4,5.91
3400m,M,4.9,4.78
3400m,F,5.3,4.36
3400m,F,4.7,3.09
3400m,M,5.7,5.46
3400m,M,5.3,6.07
3400m,M,6.1,7.61
3400m,M,5.7,6.15
3400m,M,5.2,5
3400m,F,5.4,4.89
3400m,F,4.6,3.5
3400m,M,5.1,5.15
3400m,M,6.2,6
3400m,M,5.9,6.45
3400m,M,5.4,5.26
3400m,M,5.6,5.53
3400m,M,5.5,6.51
3400m,F,5.8,4.7
3400m,F,5.3,4.31
3400m,F,5.7,4.71
3400m,M,5.5,5.46
3400m,M,5.5,5.9
3400m,M,5.5,5.19
3400m,M,5.7,7.31
3400m,M,5.4,5.11
3400m,M,5.7,5.18
3400m,F,6.4,7.17
3400m,F,6,4.77
3400m,F,6.2,6.81
3400m,M,5.2,4.74
2600m,M,6.6,11.33
2600m,M,6.1,8.81
2600m,M,6.2,9.6
2600m,F,5.9,8.34
2600m,F,6.2,7.39
2600m,F,4.3,2.7
2600m,M,6,8.06
2600m,M,5.9,7.21
2600m,M,5.7,6.39
2600m,F,5.3,4.5
2600m,F,4.6,2.92
2600m,F,4.4,2.37
2600m,M,6.2,8
2600m,M,6.2,7.46
2600m,F,4.6,3.3
2600m,M,5.8,6.85
2600m,F,5,3.74
2600m,F,5,4.03
2600m,M,5.1,4.24
2600m,M,4.9,4.76
2600m,F,4.7,3.51
2600m,F,5.6,4.97
2600m,F,4.2,3.02
2600m,M,4.6,3.65
3400m,M,5.6,6.29
3400m,M,5.9,7.18
3400m,M,5.4,5.69
3400m,M,5.4,6.01
3400m,M,5,4.34
3400m,F,4.7,3.45
3400m,F,5.1,5.01
3400m,F,5,4.85
3400m,F,4.4,3.04
3400m,F,4.9,4.49
3400m,M,5.1,5.09
3400m,M,6,6.29
3400m,M,5.4,6.05
3400m,F,4.5,3.56
3400m,M,4.6,3.38
3400m,M,4.4,2.75
3400m,F,4.5,2.45
3400m,F,4.1,2.26
3400m,F,4.3,2.43
3400m,F,5,5.65
4200m,M,5.3,6.32
4200m,M,5.7,8.15
4200m,M,5.3,5.34
4200m,F,5.1,6.3
4200m,M,5.6,6.27
4200m,M,6.2,8.27
4200m,F,5,4.88
4200m,F,4.6,3.7
4200m,F,4.1,2.84
4200m,F,4.4,3.26
4200m,M,5.9,7.48
4200m,M,5.1,4.53
4200m,M,6.6,3.66
4200m,M,4.3,2.79
4200m,F,4.4,3.22
4200m,M,4.5,3.72
4200m,F,4.3,2.87
4200m,F,4.3,2.72
4200m,F,4,2.27
4200m,F,3.8,2.25
3400m,M,6.10,9.139
3400m,F,6.00,7.667
3400m,F,6.10,7.554
3400m,M,5.60,6.96
3400m,F,6.20,7.136
3400m,M,5.50,6.707
3400m,M,5.80,6.75
3400m,F,6.00,6.835
3400m,F,5.70,6.594
3400m,F,6.60,6.889
3400m,M,5.20,6.048
3400m,M,5.40,6.113
3400m,M,5.50,6.052
3400m,M,5.50,6.022
3400m,F,6.00,5.881
3400m,F,5.70,5.7
3400m,M,5.50,5.377
3400m,M,5.50,5.259
3400m,M,5.30,5.165
3400m,M,5.50,4.621
3400m,F,5.20,4.435
3400m,F,6.20,4.158
3400m,F,4.90,3.678
3400m,M,5.60,3.677
3400m,M,5.20,3.436
3400m,M,5.40,3.444
3400m,M,4.90,2.971
3400m,F,5.00,2.705