Year,Date,Elevation,Time,Sex,SVL,Tbody,Gravid,Tsurface,Tair
2020,2020/7/14,2600m,8,F,4.6,20.6,NO,21.3,15.9
2020,2020/7/14,2600m,8,F,5.8,29.3,YES,20.6,17.9
2021,2021/7/24,2600m,8,F,6.7,37.4,YES,34.1,25.4
2021,2021/7/24,2600m,8,M,6.3,36.5,NO,28.3,24.9
2021,2021/7/24,2600m,8,M,5,34.9,NO,35.4,25.9
2021,2021/7/24,2600m,8,F,6.4,35.7,NO,29.9,24.2
2020,2020/7/14,2600m,9,M,4.5,21.5,NO,24.5,14.5
2020,2020/7/14,2600m,9,F,5.3,34.7,NO,26.5,21.5
2020,2020/7/14,2600m,9,M,5.9,35.9,NO,25.5,20.7
2020,2020/7/14,2600m,9,F,6.5,32,NO,23.6,19.8
2020,2020/7/14,2600m,9,F,5.2,32.5,YES,25.5,23.1
2020,2020/7/14,2600m,9,F,5.5,34.4,NO,35.3,21.2
2020,2020/7/14,2600m,9,F,3.7,30.4,NO,22.6,20.2
2020,2020/7/14,2600m,9,M,4.3,34.2,NO,23.3,20.6
2020,2020/7/14,2600m,9,F,3.3,34.5,NO,29.5,21.1
2020,2020/7/14,2600m,9,M,5.8,31.1,NO,25.8,21.8
2020,2020/7/14,2600m,9,F,5,34.3,NO,32.5,21.7
2020,2020/7/14,2600m,9,M,6.3,33.4,NO,29.3,20.6
2021,2021/7/24,2600m,9,M,6.5,33.8,NO,27.1,19.6
2021,2021/7/24,2600m,9,M,6.5,36,NO,35.5,24
2021,2021/7/24,2600m,9,F,6.7,37.4,NO,29.7,25.6
2021,2021/7/24,2600m,9,M,2.2,35.9,NO,28.9,25.3
2021,2021/7/24,2600m,9,F,4.8,40.5,NO,38,28
2021,2021/7/24,2600m,9,M,5.9,37.7,NO,34.2,28.7
2021,2021/7/24,2600m,9,M,7.1,37.8,NO,37.5,30.7
2021,2021/7/24,2600m,9,F,5.7,37.4,NO,32.9,27.3
2021,2021/7/24,2600m,9,F,6.8,38.5,NO,44.4,31.3
2021,2021/7/24,2600m,9,M,5.2,38.6,NO,38.4,27
2020,2020/7/12,2600m,10,F,5.1,32.5,NO,25.8,20.9
2020,2020/7/12,2600m,10,M,6.4,35.3,NO,26.3,21.9
2020,2020/7/12,2600m,10,F,6.2,33.7,NO,26.7,18.4
2020,2020/7/14,2600m,10,F,6.4,34.1,YES,31.7,22.1
2020,2020/7/14,2600m,10,M,4.6,33.4,NO,28.4,20.8
2020,2020/7/14,2600m,10,F,6.2,32.6,YES,27.3,19.5
2020,2020/7/14,2600m,10,F,5.6,27.7,YES,25.4,20.6
2020,2020/7/14,2600m,10,F,4.9,36.2,YES,34,21.9
2020,2020/7/14,2600m,10,M,4.8,36.8,NO,28.3,20.1
2020,2020/7/14,2600m,10,F,6.8,36.7,YES,41.5,23.3
2020,2020/7/14,2600m,10,F,6.2,36.3,YES,31.8,24.2
2021,2021/7/24,2600m,10,F,4.2,39.5,NO,49.1,28.1
2021,2021/7/24,2600m,10,F,5.1,39.3,NO,34.8,31.2
2021,2021/7/24,2600m,10,F,6.5,38.2,NO,34.6,25.8
2021,2021/7/24,2600m,10,M,6.2,38.1,NO,39,26.6
2021,2021/7/24,2600m,10,F,5.1,40.3,NO,46,33
2021,2021/7/24,2600m,10,M,6.6,38.2,NO,44.1,28.7
2021,2021/7/24,2600m,10,F,5.3,39.9,NO,40,25.8
2021,2021/7/24,2600m,10,F,5.9,36.6,YES,41.6,30
2020,2020/7/12,2600m,11,F,5.9,33.7,YES,28.5,20
2020,2020/7/12,2600m,11,M,5.8,34.2,NO,27,18.3
2020,2020/7/12,2600m,11,M,4.6,33.9,NO,29.1,18.4
2020,2020/7/12,2600m,11,F,5.4,37.2,NO,36,23.1
2020,2020/7/12,2600m,11,F,4.8,34,NO,18.8,19.5
2020,2020/7/12,2600m,11,F,4.5,35.8,NO,31.2,18.2
2020,2020/7/12,2600m,11,F,4.7,33.6,NO,34.8,21.5
2020,2020/7/12,2600m,11,M,5.1,34.4,NO,33.1,23.8
2021,2021/7/24,2600m,11,F,6.6,38.8,NO,40.9,26.2
2021,2021/7/24,2600m,11,M,6.7,38.3,NO,47.7,32.4
2021,2021/7/24,2600m,11,F,5.5,39.5,NO,47.3,30.8
2021,2021/7/24,2600m,11,F,4.5,38.1,NO,42,23.4
2021,2021/7/24,2600m,11,M,5.1,38.9,NO,52.7,30.7
2021,2021/7/24,2600m,11,M,4.9,38.2,NO,52.3,29.1
2021,2021/7/24,2600m,11,F,5.1,42.6,NO,57.8,26.5
2021,2021/7/30,2600m,11,F,6.2,37.8,NO,49,28.6
2021,2021/7/30,2600m,11,M,5.9,38.2,NO,50.2,24.6
2021,2021/7/30,2600m,11,F,5.7,37.2,YES,46.1,28.2
2021,2021/7/30,2600m,11,F,6.2,41.3,NO,46.2,32.6
2020,2020/7/12,2600m,12,M,5.2,32,NO,33.2,24.1
2020,2020/7/12,2600m,12,F,6.1,33,NO,31.8,19.1
2020,2020/7/12,2600m,12,M,6.2,34.1,NO,31.2,22.1
2020,2020/7/12,2600m,12,M,5.7,35.8,NO,31.7,18.7
2020,2020/7/12,2600m,12,F,4.6,34.7,NO,31.5,18.5
2020,2020/7/12,2600m,12,F,6.5,33,YES,35.7,20.1
2020,2020/7/12,2600m,12,F,5.9,33.6,YES,33.5,24.6
2020,2020/7/12,2600m,12,M,5.2,38.3,NO,33,17.6
2020,2020/7/12,2600m,12,M,4.1,35.7,NO,29,20.9
2020,2020/7/12,2600m,12,F,5.2,33.1,NO,30.8,17.5
2021,2021/7/24,2600m,12,F,5.3,38.2,NO,55.8,37.7
2021,2021/7/24,2600m,12,M,5.5,38.4,NO,57.2,23.1
2021,2021/7/24,2600m,12,F,5.9,38.5,YES,49.5,30.4
2021,2021/7/24,2600m,12,F,4.8,41.6,NO,57.2,36.5
2021,2021/7/30,2600m,12,M,5,42.3,NO,52.7,26.8
2021,2021/7/30,2600m,12,M,5.7,39.6,NO,51.6,30.4
2021,2021/7/30,2600m,12,M,6.3,39.8,NO,50.7,28.2
2021,2021/7/30,2600m,12,M,6.5,39.8,NO,44.6,29.8
2021,2021/7/30,2600m,12,M,6.8,39.3,NO,55.4,33.4
2020,2020/7/14,2600m,13,M,5.2,33.4,NO,34.9,25.2
2020,2020/7/14,2600m,13,F,6,34.1,YES,34.3,25.2
2020,2020/7/14,2600m,13,F,4.7,35.9,NO,38.9,27.8
2020,2020/7/14,2600m,13,M,6.2,38.3,NO,32.7,24
2020,2020/7/14,2600m,13,M,4.9,37.5,NO,32.7,24
2020,2020/7/14,2600m,13,F,6.3,37.3,YES,42.9,28.1
2020,2020/7/14,2600m,13,M,4.3,35,NO,45.2,25.5
2020,2020/7/14,2600m,13,F,5,37.7,YES,38.7,28
2020,2020/7/14,2600m,13,M,5.1,36.3,NO,29.4,23.6
2020,2020/7/14,2600m,13,M,4.6,36.7,NO,29.4,23.6
2020,2020/7/14,2600m,13,M,4.2,37.8,NO,44.3,27.4
2020,2020/7/14,2600m,13,F,4.4,36.9,NO,42.8,19.7
2020,2020/7/14,2600m,13,F,4.5,37.8,NO,36,22.5
2020,2020/7/14,2600m,13,F,5.6,39.5,NO,41.4,21.9
2020,2020/7/14,2600m,13,M,4.5,36.2,NO,39.8,24.6
2021,2021/7/24,2600m,13,F,4.4,40.5,NO,55.9,30.8
2021,2021/7/24,2600m,13,F,5.1,41.2,NO,60,29.9
2021,2021/7/24,2600m,13,M,6.2,40.4,NO,66.4,34
2021,2021/7/30,2600m,13,M,5.7,37.4,NO,49.4,28.3
2021,2021/7/30,2600m,13,F,5.5,37.7,NO,36.4,29.9
2021,2021/7/30,2600m,13,M,6.2,38.9,NO,46.6,28.8
2021,2021/7/30,2600m,13,F,5.3,36.9,NO,35.8,24.9
2021,2021/7/30,2600m,13,M,5.2,38.6,NO,47,33.1
2020,2020/7/14,2600m,14,M,6.9,38.4,NO,35.3,22.5
2020,2020/7/14,2600m,14,F,6.2,35.9,YES,41,19.1
2020,2020/7/14,2600m,14,F,6,36.7,YES,42.2,24.6
2020,2020/7/14,2600m,14,M,5.9,38.7,NO,43.3,24.4
2020,2020/7/14,2600m,14,M,6.5,40,NO,50.7,28.5
2020,2020/7/14,2600m,14,F,6.6,32.6,YES,25.3,24
2020,2020/7/14,2600m,14,F,6.6,37.3,YES,49.2,30.6
2020,2020/7/14,2600m,14,M,5.7,39.2,NO,43.1,29.4
2020,2020/7/14,2600m,14,F,5.7,35.5,NO,45.9,27.9
2020,2020/7/14,2600m,14,F,6.4,37,YES,35.9,30.2
2020,2020/7/14,2600m,14,M,4.8,39.3,NO,52.5,27.6
2020,2020/7/14,2600m,14,M,4.6,39.5,NO,45.7,26.6
2020,2020/7/14,2600m,14,M,5.5,37.3,NO,44.3,23.1
2020,2020/7/14,2600m,14,F,7.2,34.2,YES,37,29.5
2020,2020/7/14,2600m,14,M,6.3,40.4,NO,43.5,26.9
2020,2020/7/14,2600m,14,M,5.4,37.2,NO,43.5,26.9
2021,2021/7/24,2600m,14,F,6.1,38.6,NO,57.8,33.2
2021,2021/7/24,2600m,14,M,5.3,40.5,NO,61.7,37.5
2021,2021/7/24,2600m,14,F,5,44.2,NO,61.2,30.2
2021,2021/7/30,2600m,14,F,5.5,38.2,NO,39.4,33.5
2021,2021/7/30,2600m,14,M,6.1,38.5,NO,36.6,24
2021,2021/7/30,2600m,14,F,5.9,38.4,NO,37.1,25
2021,2021/7/30,2600m,14,M,5.3,36.9,NO,38.4,27.8
2021,2021/7/30,2600m,14,F,4.9,39.2,NO,42.4,32.4
2020,2020/7/12,2600m,15,M,5.2,35.1,NO,33.1,25.6
2020,2020/7/12,2600m,15,F,4.7,37.5,NO,35,22.2
2020,2020/7/12,2600m,15,F,4.4,36.4,NO,29.5,20.6
2020,2020/7/12,2600m,15,F,6.4,36.4,YES,31.6,21.9
2020,2020/7/12,2600m,15,M,4.5,38.4,NO,32.2,20.9
2020,2020/7/12,2600m,15,M,6.2,35.8,NO,34.6,22.4
2020,2020/7/12,2600m,15,M,4.6,35.1,NO,28.4,20.4
2021,2021/7/24,2600m,15,F,6.6,38.6,NO,61.3,38.1
2021,2021/7/30,2600m,15,F,5.7,38.2,NO,36.6,32.9
2021,2021/7/30,2600m,15,M,4.8,37.2,NO,36.1,32.3
2021,2021/7/30,2600m,15,M,6.1,38.2,NO,37.2,30.1
2021,2021/7/30,2600m,15,F,5.2,37.6,NO,36.4,30.7
2021,2021/7/30,2600m,15,M,5.1,37.3,NO,37,28.2
2021,2021/7/30,2600m,15,F,5.8,36.4,NO,38.4,28.8
2020,2020/7/12,2600m,16,F,5.4,37.2,NO,35.9,22.9
2020,2020/7/12,2600m,16,M,4.9,37.7,NO,34.3,22.3
2020,2020/7/12,2600m,16,F,6.2,35.5,YES,36,22.9
2020,2020/7/12,2600m,16,F,5.8,35.4,YES,32.5,20.5
2020,2020/7/12,2600m,16,M,6.3,37.2,NO,35.5,22.2
2020,2020/7/12,2600m,16,F,4.2,35.7,NO,35.4,23.5
2020,2020/7/12,2600m,16,M,6.5,37,NO,38.2,25.6
2021,2021/7/30,2600m,16,M,5.5,38.4,YES,41,32.3
2021,2021/7/30,2600m,16,M,5,37.9,NO,42.1,31.7
2021,2021/7/30,2600m,16,M,6.2,38.3,NO,39.5,32.1
2021,2021/7/30,2600m,16,M,5.3,39,NO,53.5,28.3
2021,2021/7/30,2600m,16,F,4.8,37.7,NO,33.7,33.2
2021,2021/7/30,2600m,16,F,5.9,39.4,NO,34.6,28.2
2021,2021/7/30,2600m,16,F,5.7,37.7,NO,54,30.5
2020,2020/7/12,2600m,17,F,4.7,36,NO,34.2,25.2
2020,2020/7/12,2600m,17,M,5.2,37.2,NO,41.5,25.7
2020,2020/7/12,2600m,17,M,6.3,36.7,NO,37.6,25.9
2020,2020/7/12,2600m,17,F,5.7,36.1,YES,33.5,28.2
2020,2020/7/12,2600m,17,M,6,33,NO,35.9,23.1
2020,2020/7/12,2600m,17,F,5.7,36.2,YES,35.5,24.5
2020,2020/7/12,2600m,17,M,4.6,33.6,NO,29.8,20.4
2020,2020/7/12,2600m,17,F,5.5,37.1,YES,31.5,24.2
2020,2020/7/12,2600m,17,F,3.8,36.5,NO,30.1,22.5
2020,2020/7/12,2600m,17,F,5.6,34,YES,30.6,22.5
2020,2020/7/12,2600m,17,M,4.3,35.1,NO,34.8,25.7
2020,2020/7/19,2600m,17,F,5.3,37.1,NO,33.5,39.6
2021,2021/7/30,2600m,17,F,4.7,36.4,NO,36.5,34.4
2021,2021/7/30,2600m,17,M,4.8,38.5,NO,41.3,28.8
2021,2021/7/30,2600m,17,M,5.5,39.7,NO,44,30.1
2021,2021/7/30,2600m,17,F,5.9,39.3,YES,45.3,32.6
2021,2021/7/30,2600m,17,F,6.3,38.4,NO,41.6,33.5
2021,2021/7/30,2600m,17,F,6.8,37.4,YES,43.5,33.9
2021,2021/7/30,2600m,17,M,5.7,39.3,NO,47,33.4
2020,2020/7/19,2600m,18,M,5,38.3,NO,44.2,23.8
2020,2020/7/19,2600m,18,M,6.8,35.3,NO,28.8,23.3
2020,2020/7/19,2600m,18,M,4.6,35.3,NO,26.4,21.8
2020,2020/7/19,2600m,18,F,4.6,34,NO,31.7,24.8
2020,2020/7/19,2600m,18,M,5.2,35.7,NO,27.1,16.8
2020,2020/7/19,2600m,18,F,5.7,34.4,YES,33.6,23.4
2021,2021/7/30,2600m,18,F,4.4,38,NO,39.1,26.7
2021,2021/7/30,2600m,18,M,2.7,35,NO,39.2,27.9
2021,2021/7/30,2600m,18,F,5,36.7,NO,43.6,26.7
2021,2021/7/30,2600m,18,F,5.2,35.4,NO,37.6,25.7
2021,2021/7/30,2600m,18,F,5.4,36,NO,35.2,26.8
2020,2020/7/18,2600m,19,M,4.9,35.1,NO,31.4,18.4
2020,2020/7/18,2600m,19,M,4.3,29.1,NO,19.4,18.1
2020,2020/7/18,2600m,19,M,4.8,29.4,NO,24.2,16.8
2021,2021/7/21,2600m,19,F,6.2,32.6,YES,29.3,27.9
2021,2021/7/30,2600m,19,M,6.1,34.9,NO,32.1,27
2021,2021/7/30,2600m,19,F,6.2,34.5,NO,29.9,28
2020,2020/7/25,3400m,8,F,6,23.3,YES,15,13.7
2020,2020/7/25,3400m,8,M,4.3,27.6,NO,20.9,14.7
2020,2020/7/25,3400m,8,F,5.1,29.4,YES,18.6,12.8
2020,2020/7/25,3400m,8,F,5.9,29.4,YES,17.3,13.8
2020,2020/7/25,3400m,8,F,3.8,29.5,NO,13.4,13.4
2020,2020/7/25,3400m,8,M,4.9,27.2,NO,15.5,14.6
2020,2020/7/26,3400m,8,M,5.5,32.8,NO,18.8,17.7
2020,2020/7/26,3400m,8,M,5.1,31.5,NO,15.2,21.2
2020,2020/7/26,3400m,8,M,5.1,34.2,NO,21.1,20.2
2020,2020/7/26,3400m,8,F,4.4,35.8,NO,22.8,16.6
2021,2021/8/2,3400m,8,F,6.4,31.3,YES,23.3,16.1
2021,2021/8/2,3400m,8,F,5.3,32.7,NO,22.8,19
2021,2021/8/2,3400m,8,F,5.1,32.1,NO,22.9,17.8
2021,2021/8/2,3400m,8,M,5.6,24.5,NO,20,17.6
2021,2021/8/2,3400m,8,F,6.1,24.4,NO,16.5,12.8
2020,2020/7/26,3400m,9,F,5.9,33.3,YES,19,13.2
2020,2020/7/26,3400m,9,M,4.4,32.8,NO,20.4,19.5
2020,2020/7/26,3400m,9,F,4.8,31.6,NO,17.6,14.3
2020,2020/7/26,3400m,9,M,5.4,31.9,NO,16.8,15.4
2020,2020/7/26,3400m,9,M,5.9,34.1,NO,27.7,15.2
2020,2020/7/26,3400m,9,M,5.4,33.3,NO,18.1,14.8
2020,2020/7/26,3400m,9,F,6.2,32.5,YES,17.2,15.3
2020,2020/7/26,3400m,9,F,5.9,33.3,YES,21.3,15.8
2020,2020/7/26,3400m,9,F,6.1,33.6,YES,19.5,14.1
2020,2020/7/26,3400m,9,F,5.1,34,NO,19.5,14.5
2020,2020/7/26,3400m,9,F,5,30.7,YES,20.7,13.2
2020,2020/7/26,3400m,9,M,4.3,30.8,NO,22.4,16
2020,2020/7/26,3400m,9,F,4.2,33.3,NO,19.6,14.7
2020,2020/7/26,3400m,9,M,4.1,33.3,NO,19.6,14.7
2020,2020/7/26,3400m,9,M,5.7,33.3,NO,21.2,13.6
2020,2020/7/26,3400m,9,F,5.7,34.4,YES,17.6,16.6
2020,2020/7/26,3400m,9,M,3.9,32.4,NO,17.6,16.6
2020,2020/7/26,3400m,9,F,4.2,35.8,NO,17.5,18.2
2020,2020/7/26,3400m,9,F,5.2,33.9,YES,24,17
2020,2020/7/26,3400m,9,F,5.9,32,YES,22.1,16
2020,2020/7/26,3400m,9,M,4.9,28.9,NO,23.2,15.8
2020,2020/7/26,3400m,9,M,5.9,33.9,NO,23.7,17.5
2020,2020/7/26,3400m,9,M,5.2,36.6,NO,24.2,15
2020,2020/7/26,3400m,9,F,5.6,34.8,YES,24.8,17.7
2021,2021/8/2,3400m,9,F,3.5,33.1,NO,24.1,22
2021,2021/8/2,3400m,9,F,5.6,35.4,NO,23.2,19.2
2021,2021/8/2,3400m,9,M,5.6,34.5,NO,25.8,24.5
2021,2021/8/2,3400m,9,F,5.7,32.9,NO,27.1,18.2
2021,2021/8/2,3400m,9,F,4.1,38.6,YES,31.8,20.8
2021,2021/8/2,3400m,9,M,5.9,38.8,NO,33.8,28.3
2021,2021/8/9,3400m,9,F,5.5,31.3,NO,17,14.2
2021,2021/8/9,3400m,9,M,3,32.6,NO,21.4,13.8
2021,2021/8/9,3400m,9,M,5.6,34.1,NO,21.3,18
2021,2021/8/9,3400m,9,F,5.1,34,YES,24.2,21.9
2021,2021/8/9,3400m,9,F,4.1,36.3,NO,22.4,16.9
2021,2021/8/9,3400m,9,F,5.7,32.9,NO,23.7,19.8
2021,2021/8/9,3400m,9,F,6,35,NO,21,18.9
2021,2021/8/9,3400m,9,F,5.7,35.6,NO,22.5,18.5
2021,2021/8/9,3400m,9,F,4,32.1,NO,17.5,15.6
2021,2021/8/9,3400m,9,F,5.3,32.5,NO,19.7,15.4
2021,2021/8/9,3400m,9,F,4.8,35.4,NO,28.1,18.7
2020,2020/7/25,3400m,10,F,3.3,33.6,NO,28.7,21.3
2020,2020/7/25,3400m,10,M,4.2,33.7,NO,23.1,12.1
2020,2020/7/25,3400m,10,F,3.9,33.3,NO,23.1,12.1
2020,2020/7/25,3400m,10,M,4.2,34.3,NO,20.7,15.6
2020,2020/7/25,3400m,10,M,4.1,31.6,NO,21.6,15.4
2020,2020/7/25,3400m,10,F,5.4,33.9,YES,27.1,13.5
2020,2020/7/25,3400m,10,M,4.3,35.8,NO,26.2,15.1
2020,2020/7/25,3400m,10,M,4.4,32.7,NO,24.7,12.9
2020,2020/7/25,3400m,10,M,3.8,32.9,NO,23.2,12.8
2020,2020/7/25,3400m,10,F,5.3,34.2,NO,23.5,14.8
2020,2020/7/25,3400m,10,M,4.1,33,NO,28.1,12.1
2020,2020/7/25,3400m,10,M,3.9,34.3,NO,23.4,13.1
2021,2021/8/2,3400m,10,M,5.7,33.8,NO,37.3,30.4
2021,2021/8/2,3400m,10,F,5.6,38.4,YES,30,28.3
2021,2021/8/2,3400m,10,M,5.4,37.4,NO,27.3,22.5
2021,2021/8/2,3400m,10,M,5.5,39.1,NO,38.2,26.1
2021,2021/8/2,3400m,10,F,6.2,39.3,NO,33.1,30.1
2021,2021/8/2,3400m,10,F,5.5,38.4,NO,34,31
2021,2021/8/2,3400m,10,M,5.6,39.9,NO,33.2,25.3
2021,2021/8/2,3400m,10,M,5.3,38.7,NO,27.1,24.8
2021,2021/8/2,3400m,10,F,4,33.7,NO,34.3,21.7
2021,2021/8/2,3400m,10,F,5.4,34.4,NO,28.2,16.7
2021,2021/8/2,3400m,10,F,5.5,33.7,YES,31.5,26.7
2021,2021/8/2,3400m,10,F,3.8,39.9,NO,42.1,31
2021,2021/8/2,3400m,10,M,5.5,38.2,NO,42.3,23.3
2021,2021/8/2,3400m,10,F,6.1,40.2,NO,41.6,30.2
2021,2021/8/9,3400m,10,F,6,33.8,YES,22.1,19.1
2021,2021/8/9,3400m,10,F,6.3,34.6,NO,25.4,19.1
2021,2021/8/9,3400m,10,F,6.5,36.4,NO,24.2,18.6
2021,2021/8/9,3400m,10,M,5.7,36.7,NO,22.1,18.9
2021,2021/8/9,3400m,10,F,4.5,35.2,NO,20.9,17.9
2021,2021/8/9,3400m,10,F,5.3,34.9,NO,23.6,15.6
2021,2021/8/9,3400m,10,F,5.6,35.5,NO,22.9,20
2021,2021/8/9,3400m,10,F,4,32.6,NO,22.4,16
2021,2021/8/9,3400m,10,M,5.8,34.6,NO,26.4,20.2
2021,2021/8/9,3400m,10,F,3.7,35.2,NO,24.6,15.8
2021,2021/8/9,3400m,10,F,5.8,34.3,NO,26.7,16.8
2021,2021/8/9,3400m,10,F,4.2,32.7,NO,24.7,17.5
2021,2021/8/9,3400m,10,M,2.8,34.3,NO,27.5,17.1
2021,2021/8/9,3400m,10,M,4.5,36.7,NO,33.6,22.1
2021,2021/8/9,3400m,10,F,5.4,36.5,NO,28.7,21.2
2021,2021/8/9,3400m,10,M,5.4,37.1,NO,30.5,17.3
2021,2021/8/9,3400m,10,F,5,35.5,NO,35.5,17.1
2020,2020/6/29,3400m,10,F,6.4,31.1,NO,14.6,18.2
2020,2020/6/29,3400m,10,M,5.7,34.1,NO,26.5,16.6
2020,2020/6/29,3400m,10,F,3.2,34.5,NO,35.5,16.7
2020,2020/6/29,3400m,10,F,5.7,34.1,NO,34.9,17.7
2020,2020/6/29,3400m,10,F,4.2,33.8,NO,29.4,21.5
2020,2020/6/29,3400m,10,M,5.1,31.9,NO,26.8,16.3
2020,2020/6/29,3400m,10,F,3.4,36.6,NO,31.4,19.5
2020,2020/6/29,3400m,10,M,5.3,35,NO,34.3,20.8
2020,2020/6/29,3400m,10,F,4.9,36,NO,33.4,20.6
2020,2020/6/29,3400m,10,M,5,37.7,NO,33.6,20.3
2020,2020/6/29,3400m,10,F,3.2,33,NO,37.2,21.9
2020,2020/6/29,3400m,10,M,5.5,35.5,NO,25.2,19.6
2020,2020/6/29,3400m,10,F,4.2,37.4,NO,42.6,23.6
2020,2020/6/29,3400m,10,F,6.5,32.7,NO,25,13.5
2020,2020/6/29,3400m,10,F,4.5,33.5,NO,30,18.6
2020,2020/6/29,3400m,10,F,5.2,35.6,NO,29.6,20.1
2020,2020/6/29,3400m,10,M,5.8,36.2,NO,32.7,18.5
2020,2020/6/29,3400m,10,F,6.3,33.5,NO,32,18.5
2020,2020/6/29,3400m,10,M,3.8,37.5,NO,29.3,19.8
2020,2020/6/29,3400m,10,F,4.2,36.3,NO,29.3,19.8
2020,2020/6/29,3400m,10,F,5.2,31.4,NO,31.8,13.4
2020,2020/7/25,3400m,11,M,5,35.7,NO,24.5,15.6
2020,2020/7/25,3400m,11,M,5.1,36.5,NO,27.2,14.4
2020,2020/7/25,3400m,11,F,2.9,31.4,NO,21.6,13.6
2020,2020/7/25,3400m,11,F,3.7,33.4,NO,27.5,13.2
2020,2020/7/25,3400m,11,M,5.5,36.1,NO,29.4,16.7
2020,2020/7/25,3400m,11,M,4.9,36.4,NO,21.9,17
