Year,Date,Elevation,Time,Sex,SVL,Tbody,Gravid,Tsurface,Tair
2020,2020/7/25,3400m,11,M,5.4,36.3,NO,26.7,15.2
2020,2020/7/25,3400m,11,M,5.6,35,NO,27.6,15.4
2020,2020/7/25,3400m,11,M,4.4,34,NO,26.6,15.6
2020,2020/7/25,3400m,11,F,5.8,34.9,YES,28.8,19.1
2020,2020/7/25,3400m,11,M,4.2,34.7,NO,27.1,21.2
2020,2020/7/25,3400m,11,F,5.1,35.9,NO,25.1,18.3
2020,2020/7/25,3400m,11,M,3.8,33,NO,25.9,17.8
2020,2020/7/25,3400m,11,F,5.7,33.4,YES,25.9,17.8
2020,2020/7/25,3400m,11,F,5.2,34.5,NO,21.8,17.5
2020,2020/7/25,3400m,11,M,3.8,35.5,NO,27,16.6
2020,2020/7/25,3400m,11,M,5.7,35.8,NO,30.2,21.4
2021,2021/8/2,3400m,11,M,5.3,38.2,NO,41.6,27.4
2021,2021/8/2,3400m,11,F,6.5,35.9,YES,26.9,19
2021,2021/8/2,3400m,11,M,5.3,34.7,NO,33.4,25
2021,2021/8/2,3400m,11,F,5.6,33.7,YES,39.3,28.8
2021,2021/8/2,3400m,11,F,5.9,36,NO,36.9,23.6
2021,2021/8/2,3400m,11,M,5.6,35.1,NO,36.6,25
2021,2021/8/2,3400m,11,F,6,34.7,YES,34.4,25.3
2021,2021/8/2,3400m,11,M,5.3,36.7,NO,39.3,25.4
2021,2021/8/2,3400m,11,F,5.3,36.4,YES,39.5,28
2021,2021/8/2,3400m,11,M,5.3,39,NO,36.1,28.3
2021,2021/8/2,3400m,11,F,4.5,37.2,NO,39.2,28.8
2021,2021/8/2,3400m,11,F,5.1,34.9,NO,36.2,27.2
2021,2021/8/2,3400m,11,F,6.2,36,YES,32,24.5
2021,2021/8/9,3400m,11,M,6.2,39.6,NO,29.6,19.4
2021,2021/8/9,3400m,11,F,6.1,39.4,NO,32.2,24
2021,2021/8/9,3400m,11,M,5.4,39.2,NO,35.8,25.9
2021,2021/8/9,3400m,11,F,4.3,39.4,NO,34.2,21
2021,2021/8/9,3400m,11,F,3.7,38.2,NO,31.3,24.1
2021,2021/8/9,3400m,11,M,6.1,38,NO,32.3,24.2
2021,2021/8/9,3400m,11,F,4.3,37.2,NO,30.7,23.2
2021,2021/8/9,3400m,11,F,2.7,36.2,NO,32.3,22.3
2021,2021/8/9,3400m,11,F,4.3,36.6,NO,33.1,20.9
2021,2021/8/9,3400m,11,M,5.7,37.5,NO,35,23.2
2021,2021/8/9,3400m,11,F,5.5,39.6,NO,33.4,19.2
2020,2020/6/29,3400m,11,F,5.7,36.7,NO,33,21.1
2020,2020/6/29,3400m,11,F,4.4,35,NO,49.3,20.3
2020,2020/6/29,3400m,11,F,5.6,37.5,NO,41.2,18.3
2020,2020/6/29,3400m,11,F,5.8,33.3,NO,41.7,21.8
2020,2020/6/29,3400m,11,F,6,36.8,NO,47.4,21.1
2020,2020/6/29,3400m,11,M,3.6,33.5,NO,44,25.2
2020,2020/6/29,3400m,11,M,5.4,38.9,NO,51.5,26.2
2020,2020/6/29,3400m,11,M,4.8,32.7,NO,34.5,19.1
2020,2020/6/29,3400m,11,F,5.1,39.1,NO,46.9,23
2021,2021/8/15,3400m,11,M,5,36.7,NO,40.2,22.6
2021,2021/8/15,3400m,11,F,5.3,37.1,NO,45.2,26.3
2021,2021/8/16,3400m,11,M,5.2,35.9,NO,29.9,20.5
2021,2021/8/16,3400m,11,M,5.6,39.7,NO,39,24.5
2021,2021/8/16,3400m,11,M,5.8,40.6,NO,40.8,27.3
2021,2021/8/16,3400m,11,M,5.2,38.2,NO,39.6,27.2
2021,2021/8/16,3400m,11,F,5.8,36.7,NO,43.1,30.6
2021,2021/8/16,3400m,11,M,5.3,36.8,NO,35.9,25.6
2021,2021/8/15,3400m,11,F,6,35.9,NO,36.1,21.2
2021,2021/8/16,3400m,11,F,4.6,35.1,NO,44.3,22.6
2021,2021/8/16,3400m,11,F,3.9,37.3,NO,38.6,24.7
2021,2021/8/20,3400m,11,M,5.3,37.1,NO,34.6,20.6
2021,2021/8/20,3400m,11,F,5.7,35.4,NO,40.1,24.1
2020,2020/7/25,3400m,12,M,4.6,33,NO,31.5,14.7
2020,2020/7/25,3400m,12,F,6,34.6,YES,31.5,18.2
2020,2020/7/25,3400m,12,M,5.4,37.9,NO,31.5,18.2
2020,2020/7/25,3400m,12,F,3.7,36.8,NO,32.6,15.7
2020,2020/7/25,3400m,12,M,4.6,32.8,NO,28.8,17.8
2020,2020/7/25,3400m,12,F,5.6,34.5,YES,25.5,17.2
2020,2020/7/25,3400m,12,F,4,34.5,NO,29.4,13.5
2020,2020/7/25,3400m,12,F,4.1,35.5,NO,30.1,17
2020,2020/7/25,3400m,12,F,4.8,38.5,NO,29.7,20.3
2020,2020/7/25,3400m,12,F,5.7,34.9,YES,29.9,17.3
2020,2020/7/25,3400m,12,M,4.5,36.4,NO,25.8,22.1
2020,2020/7/25,3400m,12,F,5.2,33.8,YES,24.2,16
2020,2020/7/25,3400m,12,F,3.6,35.1,NO,31.6,21.8
2020,2020/7/25,3400m,12,M,4,36.9,NO,34.2,23
2020,2020/7/25,3400m,12,F,5.8,33.9,YES,28.3,21.9
2020,2020/7/25,3400m,12,F,5.8,34.6,YES,30.4,14.2
2020,2020/7/25,3400m,12,F,6.2,34.7,YES,30.2,16.7
2020,2020/7/25,3400m,12,F,6,34.1,YES,29.2,18.9
2020,2020/7/25,3400m,12,F,4.9,35.8,NO,30.1,16.1
2020,2020/7/25,3400m,12,M,4.9,34.8,NO,24.3,16.5
2020,2020/7/25,3400m,12,F,3.9,34.9,NO,28.4,15.3
2020,2020/7/25,3400m,12,M,5,34.5,NO,26,12.1
2020,2020/7/25,3400m,12,M,5.6,37.1,NO,31.3,14.4
2020,2020/7/25,3400m,12,F,5.8,32.9,YES,30,17.1
2020,2020/7/25,3400m,12,M,5.3,36.5,NO,29.3,16.7
2021,2021/8/2,3400m,12,F,6.3,34.2,NO,41.2,23.4
2021,2021/8/2,3400m,12,F,4,31.5,NO,32.1,23
2021,2021/8/2,3400m,12,F,6,35.3,NO,37,26.8
2021,2021/8/2,3400m,12,F,4.8,35.9,NO,37.6,31.5
2021,2021/8/2,3400m,12,M,5.2,37.5,NO,38.1,23.5
2021,2021/8/2,3400m,12,F,5.9,36.7,NO,37.8,25.1
2021,2021/8/9,3400m,12,M,5.5,38.6,NO,32.2,21.8
2021,2021/8/9,3400m,12,M,5.4,34.2,NO,35.6,21.9
2021,2021/8/9,3400m,12,F,5.6,39,NO,33.1,22.3
2021,2021/8/9,3400m,12,F,5.7,36.4,YES,42.8,24.9
2021,2021/8/9,3400m,12,M,6.1,37,NO,32.3,26.6
2021,2021/8/9,3400m,12,F,5.5,39.4,NO,41.1,26.4
2021,2021/8/9,3400m,12,M,5.3,38.5,NO,34.7,26.8
2021,2021/8/9,3400m,12,F,4,39.8,NO,38.6,27.3
2021,2021/8/9,3400m,12,M,4.7,39.2,NO,35.8,24.3
2021,2021/8/9,3400m,12,F,5.1,39,YES,36.6,20.5
2021,2021/8/9,3400m,12,F,5.9,38.1,YES,36,26.4
2021,2021/8/9,3400m,12,F,5.5,37,NO,35.9,23.8
2021,2021/8/9,3400m,12,F,5.8,35.9,NO,33.6,23.8
2021,2021/8/9,3400m,12,F,5.7,35.4,NO,32.5,21.3
2021,2021/8/9,3400m,12,M,5.6,37.6,NO,37.5,22.9
2021,2021/8/9,3400m,12,F,6.1,35.7,YES,30.6,22.6
2021,2021/8/9,3400m,12,F,6,37.5,NO,37.4,21.1
2021,2021/8/9,3400m,12,M,2.6,34.4,NO,37.9,20.1
2021,2021/8/9,3400m,12,M,2.9,35.2,NO,38.6,19.6
2021,2021/8/9,3400m,12,M,5.3,38.5,NO,37.2,21.8
2021,2021/8/9,3400m,12,F,3.3,37.6,NO,40.9,22
2020,2020/6/29,3400m,12,M,3.7,35.9,NO,41.2,25.4
2020,2020/6/29,3400m,12,M,4.1,37.6,NO,47.8,22.2
2020,2020/6/29,3400m,12,M,4.1,38.2,NO,50.4,26.3
2020,2020/6/29,3400m,12,F,6.4,35.4,NO,40.7,20.2
2020,2020/6/29,3400m,12,F,3.7,37.5,NO,38.7,22.7
2020,2020/6/29,3400m,12,M,4.8,36.3,NO,38.7,22.7
2020,2020/6/29,3400m,12,M,4.5,36.9,NO,48.7,21
2020,2020/6/29,3400m,12,F,3.5,38.3,NO,49.4,24
2020,2020/6/29,3400m,12,F,4.6,37.4,NO,50.5,25.1
2020,2020/6/29,3400m,12,M,5.6,37.5,NO,60.2,27.4
2020,2020/6/29,3400m,12,F,4.9,36.3,NO,46,23.3
2021,2021/8/16,3400m,12,F,5,40.4,NO,52.3,26.6
2021,2021/8/16,3400m,12,M,5.6,37.6,NO,44.9,22.9
2021,2021/8/16,3400m,12,F,6.2,37.1,NO,40.1,26.5
2021,2021/8/16,3400m,12,M,5.6,37.3,NO,40.5,22.6
2021,2021/8/16,3400m,12,M,5.9,36,NO,36.2,22.8
2021,2021/8/20,3400m,12,F,5.9,39.3,NO,38.1,24.1
2021,2021/8/20,3400m,12,F,6,37,NO,37.2,25.5
2021,2021/8/20,3400m,12,F,5.8,39.2,NO,41.6,24
2021,2021/8/20,3400m,12,M,5.6,35.6,NO,41.9,23.8
2021,2021/8/20,3400m,12,F,4.2,38.4,NO,41.6,22.2
2021,2021/8/20,3400m,12,F,5.5,39.3,NO,43.6,25.3
2020,2020/7/25,3400m,13,M,4.9,34.3,NO,47.6,17
2020,2020/7/25,3400m,13,M,6,35.8,NO,32.5,18.2
2020,2020/7/25,3400m,13,F,4.8,35.9,NO,28.4,16.7
2020,2020/7/25,3400m,13,F,3.3,34.6,NO,32.4,17.8
2020,2020/7/25,3400m,13,F,3.9,36.2,NO,28.8,20.5
2020,2020/7/25,3400m,13,F,5.1,38.4,NO,39.8,21.8
2020,2020/7/25,3400m,13,M,5.2,37.6,NO,33.8,22.8
2020,2020/7/25,3400m,13,M,5.8,37.9,NO,28.7,20.9
2020,2020/7/25,3400m,13,M,4.2,36.8,NO,36.2,18.5
2020,2020/7/25,3400m,13,F,4.2,32.6,NO,30.4,20.3
2020,2020/7/25,3400m,13,F,4.9,37.3,NO,32.2,19
2020,2020/7/25,3400m,13,M,4.2,32.2,NO,27.2,12
2020,2020/7/25,3400m,13,F,5.6,34.3,YES,30.6,22.4
2020,2020/7/25,3400m,13,M,4.9,38.2,NO,33.6,20.5
2020,2020/7/25,3400m,13,F,5.5,35.5,YES,32.5,21.6
2020,2020/7/25,3400m,13,F,5.6,32.9,YES,30.4,17.9
2020,2020/7/25,3400m,13,M,5.2,36.5,NO,28.5,17.5
2020,2020/7/25,3400m,13,M,5.8,37.7,NO,30.7,21.9
2020,2020/7/25,3400m,13,M,5.2,36.7,NO,35.9,19.3
2020,2020/7/25,3400m,13,M,4.2,35.9,NO,34.1,14.8
2020,2020/7/25,3400m,13,M,6,36.8,NO,32.3,23.4
2020,2020/7/25,3400m,13,F,4.9,34.5,NO,33,17.3
2021,2021/8/9,3400m,13,F,5.5,36.9,YES,29.6,23.3
2021,2021/8/9,3400m,13,F,5.6,37.6,NO,37.8,24.8
2021,2021/8/9,3400m,13,M,4.3,36,NO,33.8,19.9
2021,2021/8/9,3400m,13,M,3.9,38,NO,32.6,23.2
2021,2021/8/9,3400m,13,M,5.8,36.2,NO,37.4,21.9
2021,2021/8/9,3400m,13,F,6.3,36.8,NO,45.7,25.7
2021,2021/8/9,3400m,13,M,5.8,37.4,NO,37.6,26.7
2021,2021/8/9,3400m,13,F,5.3,38.6,NO,35.3,25
2021,2021/8/9,3400m,13,F,4.5,36.8,NO,35.2,26.8
2021,2021/8/9,3400m,13,F,4.9,35.2,NO,33.8,21.5
2021,2021/8/9,3400m,13,M,4.9,37.7,NO,40,18.9
2021,2021/8/9,3400m,13,M,2.9,37.4,NO,41.1,22
2020,2020/7/2,3400m,13,M,4.2,36.6,NO,38,22.6
2020,2020/7/2,3400m,13,M,4.5,36.9,NO,35.4,24.3
2020,2020/7/2,3400m,13,F,5.1,38.9,NO,43.2,23.4
2020,2020/7/2,3400m,13,M,5.3,40.2,NO,43.9,28.3
2020,2020/7/2,3400m,13,M,4.1,40.4,NO,40.8,28.6
2020,2020/7/2,3400m,13,M,4.7,36.4,NO,41.8,18.3
2020,2020/7/2,3400m,13,M,5,41.2,NO,43.1,23.6
2020,2020/7/2,3400m,13,M,6,36.3,NO,34.2,23.3
2020,2020/7/2,3400m,13,M,5.5,38,NO,43.1,23.7
2020,2020/7/2,3400m,13,M,6.1,39.1,NO,32.2,24.7
2020,2020/7/2,3400m,13,F,5.1,32.7,NO,37.6,24
2020,2020/7/2,3400m,13,F,3.5,37.9,NO,42.3,22.4
2020,2020/7/2,3400m,13,F,6,33.3,NO,38.6,17.8
2020,2020/7/2,3400m,13,M,5.2,38.3,NO,43.3,25.2
2020,2020/7/2,3400m,13,F,5.5,33.4,NO,38.4,20.8
2020,2020/7/2,3400m,13,M,5.1,36,NO,44.7,19.7
2020,2020/7/2,3400m,13,F,3.6,35,NO,42.1,23.6
2020,2020/7/2,3400m,13,F,3.4,36.1,NO,41.3,25
2020,2020/7/2,3400m,13,M,5.1,36.2,NO,45.6,21.5
2020,2020/7/2,3400m,13,F,6.2,32.5,NO,35.8,21.3
2020,2020/7/2,3400m,13,F,4.9,37.3,NO,39.9,17.5
2020,2020/7/2,3400m,13,F,5.8,32.9,NO,37.7,24.5
2021,2021/8/19,3400m,13,F,5.9,37.4,NO,35.9,24.8
2021,2021/8/20,3400m,13,F,6.1,39.3,NO,47.3,24.5
2021,2021/8/20,3400m,13,F,5,37.3,NO,48.6,25.1
2021,2021/8/20,3400m,13,M,5.1,37.3,NO,44.7,25.8
2021,2021/8/20,3400m,13,M,5.1,38.7,NO,45.6,26.9
2021,2021/8/20,3400m,13,F,5.4,37.6,NO,47.4,26.6
2021,2021/8/20,3400m,13,M,5.1,36.2,NO,45.5,24.1
2021,2021/8/20,3400m,13,F,4.7,37.5,NO,47.2,23.1
2020,2020/7/25,3400m,14,M,5.9,36.9,NO,23.4,15.4
2020,2020/7/25,3400m,14,M,5.3,34.5,NO,45,22.4
2020,2020/7/25,3400m,14,F,6.2,35.9,YES,33.5,19.5
2020,2020/7/25,3400m,14,M,4.9,36.2,NO,40,22.2
2020,2020/7/25,3400m,14,M,4.3,35.2,NO,33.1,23.1
2020,2020/7/25,3400m,14,F,5.6,33.4,YES,33,21.4
2020,2020/7/25,3400m,14,M,4.3,35.3,NO,42.3,19.9
2020,2020/7/25,3400m,14,F,5.6,32.3,YES,31.8,19.7
2020,2020/7/25,3400m,14,F,5.8,31.7,YES,27.8,20.7
2020,2020/7/25,3400m,14,M,5.8,37.4,NO,26.9,20.4
2020,2020/7/25,3400m,14,M,4.2,36.2,NO,33.4,15.5
2020,2020/7/25,3400m,14,M,4,36.5,NO,29.8,18.3
2020,2020/7/25,3400m,14,F,5.4,37,NO,30.6,18.7
2020,2020/7/25,3400m,14,F,4.5,36.1,NO,33.1,16.7
2020,2020/7/25,3400m,14,F,3.7,35.6,NO,37.6,17.9
2020,2020/7/25,3400m,14,F,6.5,34.3,YES,36.2,24.1
2020,2020/7/25,3400m,14,F,4,35.4,NO,34.9,22.6
2020,2020/7/25,3400m,14,M,4.4,35.7,NO,26.3,15.3
2020,2020/7/25,3400m,14,F,4.9,35.2,NO,25.8,18
2020,2020/7/25,3400m,14,M,5.4,36.2,NO,35.6,19.6
2020,2020/7/25,3400m,14,F,3.2,35.9,NO,37.2,20.8
2020,2020/7/25,3400m,14,M,6,36.2,NO,37.2,21.8
2021,2021/8/1,3400m,14,M,5.4,39.5,NO,42.5,27.4
2021,2021/8/1,3400m,14,F,4.9,35.9,NO,45.2,35.1
2021,2021/8/9,3400m,14,F,4.3,39.2,NO,42.7,25.6
2021,2021/8/9,3400m,14,F,4.5,37.2,NO,36,22.6
2021,2021/8/9,3400m,14,F,6.1,39.5,NO,37,24.1
2021,2021/8/9,3400m,14,F,5.8,37.6,NO,36.9,26.6
2021,2021/8/9,3400m,14,M,6.1,36.8,NO,37.1,25.4
2021,2021/8/9,3400m,14,M,4.7,36.2,NO,33.9,19.8
2021,2021/8/9,3400m,14,M,4.8,36.4,NO,34.2,20.1
2021,2021/8/9,3400m,14,M,4.2,35.4,NO,32.8,18.4
2020,2020/7/2,3400m,14,F,4.3,34.4,NO,43.4,24.3
2020,2020/7/2,3400m,14,F,5.7,34.1,NO,37.9,22.3
2020,2020/7/2,3400m,14,M,5.7,35,NO,42.1,24.6
2020,2020/7/2,3400m,14,F,5.2,31.6,NO,40.9,23.8
2020,2020/7/2,3400m,14,M,5.8,31.1,NO,40.9,23.8
2020,2020/7/2,3400m,14,F,5.4,31.1,NO,34.8,19.4
2020,2020/7/2,3400m,14,M,5.7,35.2,NO,38.1,20.5
2020,2020/7/2,3400m,14,M,5.8,37.3,NO,39,22.6
2020,2020/7/2,3400m,14,M,5.2,34.2,NO,28.6,22.2
2020,2020/7/2,3400m,14,M,6,35.6,NO,33.9,23.9
2020,2020/7/2,3400m,14,F,6.1,35.4,NO,43.3,24
2020,2020/7/2,3400m,14,M,6,35.3,NO,38.3,17.1
2020,2020/7/2,3400m,14,M,4.7,37.2,NO,40.5,19.6
2020,2020/7/2,3400m,14,M,6,38.2,NO,33.8,20
2020,2020/7/2,3400m,14,F,5.2,32.7,NO,34.6,18
2020,2020/7/2,3400m,14,F,4.4,38.7,NO,37.9,22
2020,2020/7/2,3400m,14,M,4.9,34.9,NO,35,17.5
2020,2020/7/2,3400m,14,F,3.2,38,NO,40.1,22.3
2020,2020/7/2,3400m,14,M,4.5,37.2,NO,35.6,19.8
2020,2020/7/2,3400m,14,F,4,39.1,NO,38.2,21.7
2020,2020/7/2,3400m,14,M,5.5,35.8,NO,35.1,18.5
2020,2020/7/2,3400m,14,F,3.8,37,NO,34.5,21.3
2020,2020/7/2,3400m,14,F,3.8,39.2,NO,36.9,20.6
2020,2020/7/2,3400m,14,F,3.6,37.6,NO,34.9,17.9
2021,2021/8/19,3400m,14,F,4.1,38.3,NO,36.1,21.5
2021,2021/8/19,3400m,14,M,5.3,38.1,NO,37.1,24.7
2021,2021/8/20,3400m,14,M,5.4,36.5,NO,42.1,26
2021,2021/8/20,3400m,14,M,5.1,37.1,NO,41.9,24.5
2021,2021/8/20,3400m,14,M,5.4,39.2,NO,46.6,28
2021,2021/8/20,3400m,14,M,5.8,36,NO,48.1,25.2
2021,2021/8/20,3400m,14,F,6,39.9,NO,48.3,26.1
2021,2021/8/20,3400m,14,M,5.3,38.2,NO,44.3,24.3
2021,2021/8/20,3400m,14,F,4.5,37.5,NO,43.5,22.4
2021,2021/8/20,3400m,14,F,4.2,37.4,NO,39.1,18.3
2021,2021/8/20,3400m,14,F,4,38.4,NO,42.8,23.9
2021,2021/8/20,3400m,14,F,5,38.1,NO,39.8,23.1
2020,2020/7/25,3400m,15,M,5,34.2,NO,30.8,23.4
2020,2020/7/25,3400m,15,M,5,37,NO,40.8,22.1
2020,2020/7/25,3400m,15,M,6,34.1,NO,31,21.4
2020,2020/7/25,3400m,15,M,5.5,36.5,NO,35.2,20.1
2020,2020/7/25,3400m,15,F,5.9,35.5,YES,30.8,18.8
2020,2020/7/25,3400m,15,F,3.4,35.7,NO,35.9,22.2
2020,2020/7/25,3400m,15,F,3.5,30.9,NO,25.2,20.9
2020,2020/7/25,3400m,15,F,6.2,35.8,YES,37.4,24.3
2020,2020/7/25,3400m,15,F,4.3,34.6,NO,35.5,20.4
2020,2020/7/25,3400m,15,M,4.3,36.9,NO,33.4,22.4
2020,2020/7/25,3400m,15,M,5.3,36.5,NO,36.1,20.9
2020,2020/7/25,3400m,15,F,3.7,36.4,NO,33,19.6
2020,2020/7/25,3400m,15,M,4.2,33.6,NO,29.1,18.1
2020,2020/7/25,3400m,15,F,5.7,36.4,YES,36.3,23
2020,2020/7/25,3400m,15,F,4.8,37.3,NO,37.9,18.6
2020,2020/7/25,3400m,15,M,5.7,36.2,NO,35,23
2020,2020/7/25,3400m,15,F,6.2,31.5,YES,38.2,25.9
2020,2020/7/25,3400m,15,F,6.2,35.6,YES,37.2,21.7
2020,2020/7/25,3400m,15,F,4.3,34.8,NO,35.7,17.3
2020,2020/7/25,3400m,15,F,4,34.9,NO,34.8,21.5
2020,2020/7/25,3400m,15,F,5,32,YES,35.1,22.1
2020,2020/7/25,3400m,15,F,3.7,35.8,NO,32.8,24.3
2020,2020/7/25,3400m,15,M,6.2,37.9,NO,36.7,23.5
2021,2021/8/1,3400m,15,M,5.7,37.3,NO,46.9,30.6
2021,2021/8/1,3400m,15,M,5.8,35.4,NO,38.5,25.9
2021,2021/8/1,3400m,15,F,3.7,36.9,NO,33.5,19.5
2021,2021/8/1,3400m,15,M,4.1,37.2,NO,42.9,25.9
2021,2021/8/1,3400m,15,M,5.6,36.3,NO,43.8,30.8
2021,2021/8/1,3400m,15,F,3.9,38.2,NO,38.2,23.7
2021,2021/8/1,3400m,15,M,4.8,36.1,NO,39.7,28.6
2021,2021/8/1,3400m,15,F,6.3,35.3,YES,37.2,29.5
2021,2021/8/1,3400m,15,F,5.2,38.4,NO,44.3,31.4
2020,2020/7/2,3400m,15,F,5.3,33.4,NO,40.3,27
2020,2020/7/2,3400m,15,M,5.6,41,NO,36.4,23.1
2020,2020/7/2,3400m,15,F,3.7,38.5,NO,39.8,23.8
2020,2020/7/2,3400m,15,F,3.2,40.4,NO,44.5,21.8
2020,2020/7/2,3400m,15,F,3.5,41.3,NO,41.3,24
2020,2020/7/2,3400m,15,F,4.6,30.5,NO,43.8,28.5
2020,2020/7/2,3400m,15,M,5.6,38.5,NO,40.7,22.1
2020,2020/7/2,3400m,15,F,3.6,39.3,NO,41.5,26
2020,2020/7/2,3400m,15,F,4,36.5,NO,43.3,26.6
2020,2020/7/2,3400m,15,F,5.9,35.3,NO,40.8,21.4
2020,2020/7/2,3400m,15,M,4.4,38.2,NO,47.2,24.2
2020,2020/7/2,3400m,15,F,5.7,37.6,NO,43,25.5
2020,2020/7/2,3400m,15,F,3.6,39.2,NO,39.4,22.4
2020,2020/7/2,3400m,15,F,3.7,38.2,NO,37.9,23.3
2020,2020/7/2,3400m,15,F,3.2,37.8,NO,37.9,23.3
2020,2020/7/2,3400m,15,F,5.4,37.9,NO,36.2,23.9
2021,2021/8/20,3400m,15,M,5.2,37.9,NO,47.8,27.1
2020,2020/7/25,3400m,16,M,5,37,NO,32.1,19.1
2020,2020/7/25,3400m,16,F,3.9,34.5,NO,34.6,23.1
2020,2020/7/25,3400m,16,M,4.2,34.4,NO,34.9,21.6
2020,2020/7/25,3400m,16,F,3.8,32.2,NO,33,19.9
2020,2020/7/25,3400m,16,F,4.2,31.1,NO,31,18.7
2020,2020/7/25,3400m,16,F,3.9,34.7,NO,24.2,18.7
2020,2020/7/25,3400m,16,M,4.6,34.1,NO,31,23.5
2020,2020/7/25,3400m,16,M,3.9,37.8,NO,34.6,18.1
2020,2020/7/25,3400m,16,F,6,35.5,YES,34.2,24
2020,2020/7/25,3400m,16,F,4.1,35.4,NO,31.4,18.8
2020,2020/7/25,3400m,16,F,4.1,35.5,NO,30.2,22
2020,2020/7/25,3400m,16,F,4.5,32,NO,30.9,17.9
