Elevation,SVL,BM,SEX,Gravid,Tsel
3400m,5.1,4.63,M,NO,36.51553763
3400m,5,4.8,M,NO,36.60040063
3400m,6,9.12,M,NO,35.48657375
3400m,5.6,6.81,M,NO,36.93985263
3400m,6,8.31,M,NO,36.60040063
3400m,5.9,7.82,M,NO,36.02757538
3400m,5.4,6.54,M,NO,35.75177063
3400m,6,8.75,M,NO,36.49432188
3400m,5.7,8.01,M,NO,35.58204463
3400m,5.4,5.76,M,NO,36.738303
3400m,6.1,9.38,F,YES,35.70933913
3400m,5.4,5.97,F,NO,37.43842275
3400m,5.4,5.58,F,NO,35.85784938
3400m,5.1,4.88,F,NO,35.30623988
3400m,4.7,3.92,F,NO,36.29277225
3400m,5.6,7.63,F,YES,34.362139
3400m,5.3,5.66,F,NO,36.32459588
3400m,5.3,5.47,F,NO,37.15201013
3400m,4.4,3.85,F,NO,35.39110288
3400m,5,5.11,F,NO,36.6110085
2600m,6.4,8.93,M,NO,36.686143
2600m,5.9,6.91,M,NO,34.73290463
2600m,4.8,4.01,M,NO,36.73836863
2600m,4.9,3.82,F,NO,35.65207563
2600m,4.8,3.51,F,NO,36.40412463
2600m,5.8,6.96,M,NO,35.3073865
2600m,5.4,4.16,M,NO,36.88460038
2600m,4.6,3.17,F,NO,34.99403275
2600m,5.8,6.91,F,NO,33.57349575
2600m,4.4,2.7,F,NO,35.58940488
2600m,4.5,2.98,M,NO,36.184777
2600m,4.8,3.22,M,NO,36.82192963
2600m,5.3,4.61,M,NO,34.83735588
2600m,5.2,4.05,M,NO,34.7224595
2600m,4.5,2.84,F,NO,34.9731425
2600m,5.9,7,M,NO,36.9786065
2600m,4.6,3,M,NO,34.76424
2600m,5.7,7.91,F,YES,35.27605113
2600m,6.3,9.49,F,YES,34.56578263
2600m,5.9,8.15,F,YES,35.00447788
4200m,6.4,9.71,M,NO,32.79588763
4200m,5.6,7.62,M,NO,33.9970605
4200m,6.2,9.33,M,NO,34.19575075
4200m,5.8,8.71,M,NO,34.80988425
4200m,5.9,8.76,M,NO,34.1415625
4200m,5.4,7.31,M,NO,35.78527275
4200m,5.8,8.65,M,NO,35.64077075
4200m,5.6,6.93,M,NO,35.31564125
4200m,5.7,9,M,NO,36.30006113
4200m,5.1,5.87,M,NO,35.7310845
4200m,5,4.92,F,NO,33.93384088
4200m,5.1,5.65,F,NO,35.189202
4200m,5.4,7.37,F,NO,33.57258588
4200m,4.4,3.58,F,NO,32.92232688
4200m,4.6,4.84,F,NO,33.13907988
4200m,6.6,13.71,F,YES,33.455178
4200m,6.3,11.09,F,YES,33.888684
4200m,4.5,3.04,F,NO,34.95438625
4200m,6.1,9.85,M,NO,35.36079813
4200m,4.6,4.41,M,NO,36.15555913